id,codice,titolo_it,titolo_en,livello,codice_padre,livello_padre,ordine,created_at,updated_at
1686,46.47.30,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi","Wholesale of household, office and shop lighting equipment",6,46.47.3,5,1686,2026-01-30 14:17:51,2026-01-30 14:17:51
1687,46.48,Commercio all'ingrosso di orologi e di gioielleria,Wholesale of watches and jewellery,4,46.4,3,1687,2026-01-30 14:17:51,2026-01-30 14:17:51
1688,46.48.0,Commercio all'ingrosso di orologi e di gioielleria,Wholesale of watches and jewellery,5,46.48,4,1688,2026-01-30 14:17:51,2026-01-30 14:17:51
1689,46.48.00,Commercio all'ingrosso di orologi e di gioielleria,Wholesale of watches and jewellery,6,46.48.0,5,1689,2026-01-30 14:17:51,2026-01-30 14:17:51
1690,46.49,Commercio all'ingrosso di altri beni di consumo,Wholesale of other household goods,4,46.4,3,1690,2026-01-30 14:17:51,2026-01-30 14:17:51
1691,46.49.1,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria","Wholesale of paper, paperboard and stationery",5,46.49,4,1691,2026-01-30 14:17:51,2026-01-30 14:17:51
1692,46.49.10,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria","Wholesale of paper, paperboard and stationery",6,46.49.1,5,1692,2026-01-30 14:17:51,2026-01-30 14:17:51
1693,46.49.2,"Commercio all'ingrosso di libri, riviste e giornali","Wholesale of books, magazines and newspapers",5,46.49,4,1693,2026-01-30 14:17:51,2026-01-30 14:17:51
1694,46.49.21,Commercio all'ingrosso di libri,Wholesale of books,6,46.49.2,5,1694,2026-01-30 14:17:51,2026-01-30 14:17:51
1695,46.49.22,Commercio all'ingrosso di riviste e giornali,Wholesale of magazines and newspapers,6,46.49.2,5,1695,2026-01-30 14:17:51,2026-01-30 14:17:51
1696,46.49.3,"Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini","Wholesale of games, toys and baby equipment",5,46.49,4,1696,2026-01-30 14:17:51,2026-01-30 14:17:51
1697,46.49.30,"Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini","Wholesale of games, toys and baby equipment",6,46.49.3,5,1697,2026-01-30 14:17:51,2026-01-30 14:17:51
1698,46.49.4,Commercio all'ingrosso di biciclette e altre attrezzature e articoli sportivi,Wholesale of bicycles and other sports goods,5,46.49,4,1698,2026-01-30 14:17:51,2026-01-30 14:17:51
1699,46.49.41,Commercio all'ingrosso di biciclette,Wholesale of bicycles,6,46.49.4,5,1699,2026-01-30 14:17:51,2026-01-30 14:17:51
